,location,total_sqft,bath,price,BHK,loaction
5040,Thanisandra,1093.0,2.0,72.0,2,Thanisandra
5041,Horamavu Banaswadi,1200.0,2.0,45.0,2,Horamavu Banaswadi
5042,Uttarahalli,1150.0,2.0,70.0,2,Uttarahalli
5043,other,1435.0,2.0,60.0,3,Silk Board
5044,Whitefield,1173.0,2.0,78.2,2,Whitefield
5045,Thanisandra,1140.0,2.0,39.0,2,Thanisandra
5046,other,1717.0,3.0,120.0,3,Jakkur Plantation
5047,Mallasandra,1325.0,2.0,65.0,2,Mallasandra
5048,Hoodi,1370.0,3.0,67.0,3,Hoodi
5049,other,1409.0,2.0,62.0,3,Doddakammanahalli
5050,Bellandur,1200.0,2.0,52.0,2,Bellandur
5051,Thanisandra,1200.0,2.0,53.5,2,Thanisandra
5052,Hennur Road,1232.0,2.0,88.0,2,Hennur Road
5053,Chandapura,1200.0,2.0,36.0,2,Chandapura
5054,other,1250.0,2.0,50.0,2,Veersandra
5055,5th Phase JP Nagar,552.0,1.0,23.5,1,5th Phase JP Nagar
5056,Uttarahalli,1065.0,2.0,42.59,3,Uttarahalli
5057,other,1225.0,2.0,65.0,2,Lakshmipura
5058,other,650.0,1.0,16.0,1,Harsha Layout
5059,Padmanabhanagar,1067.0,2.0,52.0,2,Padmanabhanagar
5060,Sarjapur,1364.0,2.0,56.0,3,Sarjapur
5061,other,1750.0,3.0,75.0,3,Tata Nagar
5062,Bannerghatta Road,1240.0,2.0,71.0,2,Bannerghatta Road
5063,Hulimavu,1200.0,2.0,75.0,2,Hulimavu
5064,Kaggadasapura,1540.0,3.0,75.0,3,Kaggadasapura
5065,other,1504.0,2.0,102.0,3,Sathya Layout
5066,other,1116.0,2.0,49.8,2,New Thippasandra
5067,Sarjapura - Attibele Road,1308.0,2.0,37.0,2,Sarjapura - Attibele Road
5068,Vijayanagar,864.0,2.0,45.0,2,Vijayanagar
5069,Hoskote,1069.0,2.0,38.0,3,Hoskote
5070,Hebbal,1333.0,2.0,100.0,2,Hebbal
5071,other,1800.0,4.0,145.0,4,Chennammana Kere
5072,Thanisandra,1698.0,3.0,107.0,3,Thanisandra
5073,JP Nagar,1275.0,2.0,43.6,3,JP Nagar
5074,Raja Rajeshwari Nagar,1060.0,2.0,48.0,2,Raja Rajeshwari Nagar
5075,Hennur,1160.0,2.0,49.0,2,Hennur
5076,Sarjapur  Road,1484.0,2.0,65.0,3,Sarjapur  Road
5077,Hennur Road,1310.0,2.0,66.0,2,Hennur Road
5078,Marathahalli,1693.0,3.0,125.0,3,Marathahalli
5079,Jigani,1230.0,3.0,60.0,3,Jigani
5080,Bommasandra Industrial Area,1310.0,2.0,37.83,3,Bommasandra Industrial Area
5081,other,1150.0,2.0,60.0,2,Tigalarpalya
5082,Munnekollal,1385.0,2.0,66.5,3,Munnekollal
5083,Tumkur Road,1066.0,2.0,52.5,2,Tumkur Road
5084,other,1625.0,3.0,92.0,3,2nd Block Bel Layout
5085,Vittasandra,1246.0,2.0,67.4,2,Vittasandra
5086,7th Phase JP Nagar,1000.0,2.0,70.65,2,7th Phase JP Nagar
5087,Nagavarapalya,907.0,2.0,38.0,2,Nagavarapalya
5088,Varthur,1395.0,2.0,79.0,3,Varthur
5089,other,1180.0,2.0,50.0,2,Kumbena Agrahara
5090,Electronic City,1175.0,2.0,47.0,2,Electronic City
5091,other,1272.0,2.0,51.5,2,Coconut Grove Layout
5092,other,1490.0,2.0,92.0,3,Hiremath Layout
5093,Yeshwanthpur,1144.0,2.0,67.0,2,Yeshwanthpur
5094,Hormavu,1143.0,2.0,53.0,2,Hormavu
5095,Whitefield,1216.0,2.0,75.0,2,Whitefield
5096,other,1044.0,2.0,60.0,2,Nallurhalli
5097,Hennur Road,1552.0,3.0,75.0,3,Hennur Road
5098,Bellandur,1785.0,3.0,120.0,3,Bellandur
5099,Pai Layout,810.0,2.0,34.5,2,Pai Layout
5100,Banashankari Stage V,1650.0,3.0,51.98,3,Banashankari Stage V
5101,other,1595.0,3.0,70.39,3,Akshayanagara East
5102,Whitefield,1060.0,2.0,35.0,2,Whitefield
5103,Babusapalaya,1410.0,2.0,65.0,3,Babusapalaya
5104,Nagarbhavi,1523.0,2.0,56.0,3,Nagarbhavi
5105,Kanakpura Road,1591.0,3.0,122.0,3,Kanakpura Road
5106,other,1640.0,3.0,84.0,3,Ashwath Nagar
5107,Yelahanka New Town,450.0,1.0,16.0,1,Yelahanka New Town
5108,Bannerghatta Road,1305.0,2.0,60.0,3,Bannerghatta Road
5109,Yelahanka,1590.0,3.0,54.0,3,Yelahanka
5110,Kaggadasapura,1240.0,2.0,45.0,2,Kaggadasapura
5111,other,1200.0,2.0,54.0,2,MCECHS  layout
5112,Dodda Nekkundi,1100.0,2.0,41.16,2,Dodda Nekkundi
5113,Sarjapur  Road,1115.0,2.0,50.0,2,Sarjapur  Road
5114,Bisuvanahalli,845.0,2.0,33.0,2,Bisuvanahalli
5115,Channasandra,1310.0,2.0,45.0,3,Channasandra
5116,other,959.0,2.0,42.5,2,Jyothi Nagar
5117,Kambipura,883.0,2.0,37.0,2,Kambipura
5118,Rachenahalli,1050.0,2.0,55.5,2,Rachenahalli
5119,Yelahanka,1390.0,2.0,70.21,2,Yelahanka
5120,Hulimavu,1276.0,2.0,46.0,2,Hulimavu
5121,Kenchenahalli,1280.0,2.0,69.0,3,Kenchenahalli
5122,Yelahanka,1614.0,3.0,95.0,3,Yelahanka
5123,Kasturi Nagar,1000.0,2.0,58.0,2,Kasturi Nagar
5124,Marathahalli,1196.0,2.0,57.9,2,Marathahalli
5125,Sarjapur  Road,1220.0,3.0,57.0,3,Sarjapur  Road
5126,Ambalipura,950.0,2.0,31.95,2,Ambalipura
5127,other,1141.0,2.0,55.0,2,Akshaya Vana
5128,5th Phase JP Nagar,1200.0,2.0,51.0,2,5th Phase JP Nagar
5129,Kasavanhalli,1380.0,2.0,55.0,3,Kasavanhalli
5130,Doddathoguru,855.0,2.0,32.0,2,Doddathoguru
5131,Chandapura,645.0,1.0,16.45,1,Chandapura
5132,Chandapura,922.0,2.0,36.0,2,Chandapura
5133,other,1200.0,2.0,43.2,2,Nagappa Reddy Layout
5134,other,1240.0,2.0,65.0,3,Nagadevanahalli
5135,7th Phase JP Nagar,1070.0,2.0,42.0,2,7th Phase JP Nagar
5136,other,1293.0,2.0,75.0,2,Rajiv Gandhi Nagar
5137,R.T. Nagar,1380.0,2.0,50.0,3,R.T. Nagar
5138,Yelahanka New Town,1599.0,3.0,80.0,3,Yelahanka New Town
5139,Nehru Nagar,967.0,2.0,41.1,2,Nehru Nagar
5140,other,1885.0,3.0,90.0,3,Silver Springs Layout
5141,other,860.0,2.0,65.5,2,1st Block Koramangala
5142,Yelahanka,1075.0,1.0,19.5,1,Yelahanka
5143,Sarjapur  Road,1050.0,2.0,63.5,2,Sarjapur  Road
5144,Marathahalli,1595.0,3.0,88.0,3,Marathahalli
5145,Sarjapur  Road,1350.0,2.0,102.0,2,Sarjapur  Road
5146,Hebbal,1204.0,2.0,45.0,2,Hebbal
5147,Sarjapur  Road,1035.0,2.0,49.0,2,Sarjapur  Road
5148,ITPL,1000.0,2.0,29.95,2,ITPL
5149,Sarjapur  Road,1457.0,3.0,85.0,3,Sarjapur  Road
5150,Haralur Road,1194.0,2.0,47.0,2,Haralur Road
5151,Bannerghatta,1100.0,2.0,66.0,2,Bannerghatta
5152,Whitefield,1655.0,3.0,120.0,3,Whitefield
5153,Kanakpura Road,1691.2,3.0,115.0,3,Kanakpura Road
5154,Ramagondanahalli,1215.0,2.0,46.1,2,Ramagondanahalli
5155,Kanakpura Road,1155.0,2.0,50.125,2,Kanakpura Road
5156,Hoodi,1639.0,3.0,129.0,3,Hoodi
5157,Sarjapur  Road,1685.0,3.0,135.0,3,Sarjapur  Road
5158,Hormavu,1100.0,2.0,38.0,2,Hormavu
5159,Vasanthapura,1050.0,2.0,47.0,2,Vasanthapura
5160,Kengeri,1230.0,2.0,45.0,2,Kengeri
5161,5th Phase JP Nagar,1240.0,3.0,60.0,3,5th Phase JP Nagar
5162,Electronic City Phase II,1252.0,2.0,65.0,3,Electronic City Phase II
5163,other,1374.0,2.0,88.0,3,Canara Bank Colony
5164,8th Phase JP Nagar,500.0,1.0,30.0,1,8th Phase JP Nagar
5165,Hebbal,1355.0,3.0,83.87,3,Hebbal
5166,Banashankari,1040.0,2.0,45.0,2,Banashankari
5167,Sarjapur  Road,1350.0,2.0,68.0,2,Sarjapur  Road
5168,Haralur Road,1560.0,3.0,90.0,3,Haralur Road
5169,Anandapura,1151.0,2.0,43.16,2,Anandapura
5170,Uttarahalli,1360.0,2.0,47.59,3,Uttarahalli
5171,other,1250.0,2.0,60.0,2,Crimson Layout
5172,Chandapura,1110.0,2.0,29.97,3,Chandapura
5173,Hennur Road,1015.0,2.0,50.0,2,Hennur Road
5174,Kadugodi,1351.0,2.0,78.0,3,Kadugodi
5175,Yelahanka New Town,960.0,2.0,50.0,2,Yelahanka New Town
5176,other,1110.0,2.0,52.0,2,Virat Nagar
5177,R.T. Nagar,1680.0,3.0,72.0,3,R.T. Nagar
5178,other,1350.0,3.0,48.6,3,Ramamurthy Nagar Extension
5179,Horamavu Banaswadi,1254.0,2.0,47.0,2,Horamavu Banaswadi
5180,CV Raman Nagar,1051.0,2.0,61.0,2,CV Raman Nagar
5181,Uttarahalli,1099.0,2.0,65.0,2,Uttarahalli
5182,Yeshwanthpur,1541.0,2.0,130.0,2,Yeshwanthpur
5183,Sarjapur  Road,1200.0,3.0,70.0,3,Sarjapur  Road
5184,Whitefield,1125.0,2.0,45.0,2,Whitefield
5185,Vittasandra,1650.0,3.0,85.0,3,Vittasandra
5186,other,834.0,1.0,62.0,1,Ashwini layout
5187,Gollarapalya Hosahalli,1320.0,3.0,60.0,3,Gollarapalya Hosahalli
5188,Mysore Road,1500.0,3.0,74.0,3,Mysore Road
5189,Whitefield,1180.0,2.0,70.0,2,Whitefield
5190,Kadugodi,1010.0,2.0,50.0,2,Kadugodi
5191,Channasandra,1070.0,2.0,38.0,2,Channasandra
5192,Choodasandra,1580.0,3.0,105.0,3,Choodasandra
5193,Iblur Village,1920.0,3.0,130.0,3,Iblur Village
5194,Sanjay nagar,1200.0,2.0,76.0,3,Sanjay nagar
5195,Kalena Agrahara,1040.0,2.0,45.0,2,Kalena Agrahara
5196,Hulimavu,1430.0,2.0,90.0,3,Hulimavu
5197,Uttarahalli,1215.0,2.0,52.85,3,Uttarahalli
5198,Thanisandra,1564.0,3.0,105.0,3,Thanisandra
5199,Hormavu,750.0,2.0,58.0,2,Hormavu
5200,Kasavanhalli,1200.0,2.0,60.0,2,Kasavanhalli
5201,Raja Rajeshwari Nagar,1128.0,2.0,48.79,2,Raja Rajeshwari Nagar
5202,Begur Road,1200.0,2.0,44.4,2,Begur Road
5203,Yelahanka,1650.0,3.0,105.0,3,Yelahanka
5204,Yelahanka,1200.0,2.0,55.0,2,Yelahanka
5205,Kengeri Satellite Town,985.0,2.0,42.0,2,Kengeri Satellite Town
5206,Ramagondanahalli,1475.0,2.0,63.0,3,Ramagondanahalli
5207,Sarjapur  Road,1157.0,2.0,53.99,3,Sarjapur  Road
5208,other,900.0,2.0,35.0,2,Canara Bank Colony
5209,GM Palaya,1030.0,2.0,60.0,2,GM Palaya
5210,other,1000.0,2.0,46.0,2,Kamdhenu Nagar
5211,Kudlu,1570.0,2.0,65.94,3,Kudlu
5212,Kanakapura,1283.0,2.0,68.0,2,Kanakapura
5213,other,1200.0,2.0,52.0,2,Vinayaka Nagar
5214,Kathriguppe,1250.0,2.0,68.75,3,Kathriguppe
5215,Yelahanka,990.0,2.0,37.62,2,Yelahanka
5216,Panathur,1199.0,2.0,85.0,2,Panathur
5217,other,1280.0,2.0,90.0,2,Brindavan Nagar
5218,other,1190.0,2.0,55.0,2,Reliaable Tranquil Layout
5219,Yelachenahalli,1100.0,2.0,60.0,2,Yelachenahalli
5220,Harlur,1133.0,2.0,55.0,2,Harlur
5221,Whitefield,1280.0,2.0,69.0,2,Whitefield
5222,Horamavu Agara,1250.0,3.0,65.0,3,Horamavu Agara
5223,Begur Road,1565.0,2.0,49.3,3,Begur Road
5224,other,1900.0,3.0,65.0,3,Pattanagere
5225,Munnekollal,1080.0,2.0,45.0,2,Munnekollal
5226,Battarahalli,600.0,1.0,47.0,1,Battarahalli
5227,HRBR Layout,1335.0,2.0,87.0,3,HRBR Layout
5228,Vittasandra,1246.0,2.0,67.3,2,Vittasandra
5229,Sarjapur  Road,1385.0,3.0,55.0,3,Sarjapur  Road
5230,other,1578.0,3.0,73.9,3,Govindpura
5231,HSR Layout,1140.0,2.0,46.0,2,HSR Layout
5232,Sarjapur  Road,1700.0,3.0,79.9,3,Sarjapur  Road
5233,Vidyaranyapura,1120.0,2.0,70.0,2,Vidyaranyapura
5234,Electronic City,435.0,1.0,22.0,1,Electronic City
5235,Magadi Road,1116.0,2.0,51.89,2,Magadi Road
5236,Old Madras Road,1480.0,3.0,95.0,3,Old Madras Road
5237,Hormavu,1000.0,2.0,50.0,2,Hormavu
5238,HSR Layout,1145.0,2.0,46.0,2,HSR Layout
5239,Bommasandra,800.0,1.0,32.0,2,Bommasandra
5240,Thanisandra,1265.0,2.0,83.0,2,Thanisandra
5241,Devanahalli,1700.0,3.0,88.2,3,Devanahalli
5242,other,1475.0,2.0,70.0,2,Narayanappa Garden
5243,BTM 2nd Stage,1265.0,2.0,55.0,2,BTM 2nd Stage
5244,Anandapura,1200.0,2.0,58.0,2,Anandapura
5245,Brookefield,1080.0,2.0,50.0,2,Brookefield
5246,Kadubeesanahalli,1545.0,2.0,66.0,3,Kadubeesanahalli
5247,6th Phase JP Nagar,1350.0,2.0,58.0,3,6th Phase JP Nagar
5248,Hoodi,1108.0,2.0,74.23,2,Hoodi
5249,Marathahalli,1730.0,3.0,115.0,3,Marathahalli
5250,other,1427.0,2.0,70.0,3,RWF West Colony
5251,Yelahanka,935.0,2.0,35.53,2,Yelahanka
5252,Sarjapura - Attibele Road,1073.0,2.0,31.77,2,Sarjapura - Attibele Road
5253,Ananth Nagar,960.0,2.0,37.0,2,Ananth Nagar
5254,Electronic City Phase II,1125.0,2.0,32.49,2,Electronic City Phase II
5255,Brookefield,1230.0,2.0,55.0,2,Brookefield
5256,Mahadevpura,1438.0,2.0,89.0,2,Mahadevpura
5257,7th Phase JP Nagar,1080.0,2.0,75.0,2,7th Phase JP Nagar
5258,Uttarahalli,1590.0,3.0,58.0,3,Uttarahalli
5259,other,1350.0,3.0,68.0,3,Seetharampalya
5260,Raja Rajeshwari Nagar,1400.0,2.0,48.0,3,Raja Rajeshwari Nagar
5261,Kaggadasapura,1560.0,2.0,72.0,3,Kaggadasapura
5262,Mallasandra,1810.0,3.0,57.0,4,Mallasandra
5263,Sonnenahalli,1484.0,3.0,74.18,3,Sonnenahalli
5264,other,1455.0,2.0,55.0,3,Stage-4 Bommanahalli
5265,Bharathi Nagar,1351.0,2.0,74.0,2,Bharathi Nagar
5266,Kanakpura Road,1223.0,2.0,42.81,3,Kanakpura Road
5267,KR Puram,1430.0,2.0,61.0,3,KR Puram
5268,Electronic City Phase II,1310.0,2.0,37.83,3,Electronic City Phase II
5269,Sarjapur  Road,984.0,2.0,55.0,2,Sarjapur  Road
5270,Jalahalli,1770.0,3.0,100.0,3,Jalahalli
5271,Bhoganhalli,1447.0,2.0,75.97,2,Bhoganhalli
5272,Margondanahalli,1140.0,2.0,60.0,2,Margondanahalli
5273,Bommanahalli,1170.0,2.0,34.0,2,Bommanahalli
5274,Poorna Pragna Layout,1160.0,2.0,46.39,2,Poorna Pragna Layout
5275,Kanakpura Road,1296.0,2.0,89.0,2,Kanakpura Road
5276,other,1570.0,3.0,80.0,3,Kempapura
5277,other,1495.0,2.0,65.0,3,Nagappa Reddy Layout
5278,Hoodi,1530.0,2.0,67.0,3,Hoodi
5279,Gunjur,1800.0,3.0,70.0,3,Gunjur
5280,Bellandur,1088.0,2.0,48.0,2,Bellandur
5281,Hosa Road,1533.0,3.0,98.18,3,Hosa Road
5282,Rachenahalli,1100.0,2.0,68.0,2,Rachenahalli
5283,Thubarahalli,1540.0,3.0,90.0,3,Thubarahalli
5284,Hosa Road,1040.0,2.0,68.59,2,Hosa Road
5285,Begur Road,1260.0,2.0,39.69,2,Begur Road
5286,Uttarahalli,1180.0,2.0,41.3,2,Uttarahalli
5287,Thigalarapalya,1245.0,2.0,100.0,2,Thigalarapalya
5288,other,1350.0,3.0,75.0,3,Dollars Colony
5289,other,1464.0,3.0,56.0,3,KUDLU MAIN ROAD
5290,Vijayanagar,920.0,2.0,60.0,2,Vijayanagar
5291,Sarjapur,1124.0,2.0,30.35,2,Sarjapur
5292,Begur Road,1100.0,2.0,71.42,2,Begur Road
5293,Vijayanagar,1019.0,2.0,58.0,2,Vijayanagar
5294,Harlur,1756.0,3.0,128.0,3,Harlur
5295,Bommasandra,1280.0,3.0,50.0,3,Bommasandra
5296,Hosa Road,1369.1,2.0,98.0,2,Hosa Road
5297,other,1440.0,3.0,72.0,3,Basapura
5298,Hennur Road,1186.0,2.0,55.33,3,Hennur Road
5299,Uttarahalli,1350.0,2.0,47.24,3,Uttarahalli
5300,Hebbal,1800.0,3.0,140.0,3,Hebbal
5301,Kudlu,1600.0,3.0,79.0,3,Kudlu
5302,GM Palaya,1000.0,2.0,35.0,2,GM Palaya
5303,Banashankari Stage III,1305.0,2.0,59.0,3,Banashankari Stage III
5304,Kambipura,1082.0,2.0,45.5,3,Kambipura
5305,Nagarbhavi,1050.0,2.0,80.0,2,Nagarbhavi
5306,other,1200.0,2.0,56.0,2,Atmananda Colony
5307,Dasarahalli,1220.0,2.0,52.0,2,Dasarahalli
5308,Harlur,1749.0,3.0,120.0,3,Harlur
5309,Doddaballapur,1276.0,2.0,48.0,3,Doddaballapur
5310,other,1670.0,3.0,75.0,3,Ankappa Layout
5311,Begur,1100.0,2.0,55.0,2,Begur
5312,Chandapura,674.0,1.0,19.9,2,Chandapura
5313,Electronics City Phase 1,1125.0,2.0,65.0,2,Electronics City Phase 1
5314,Nagavara,1125.0,2.0,44.5,2,Nagavara
5315,other,700.0,2.0,29.0,2,Baba Nagar
5316,BTM Layout,1300.0,2.0,75.0,3,BTM Layout
5317,JP Nagar,1600.0,3.0,83.0,3,JP Nagar
5318,Magadi Road,1052.0,2.0,60.0,3,Magadi Road
5319, Devarachikkanahalli,1130.0,2.0,36.0,2,Devarachikkanahalli
5320,Electronic City,1500.0,2.0,63.0,3,Electronic City
5321,Old Madras Road,1350.0,3.0,47.25,3,Old Madras Road
5322,Gottigere,1230.0,2.0,52.0,3,Gottigere
5323,Haralur Road,1520.0,2.0,85.0,3,Haralur Road
5324,Kanakpura Road,525.0,1.0,26.25,1,Kanakpura Road
5325,Hosa Road,1040.0,2.0,61.0,2,Hosa Road
5326,other,1300.0,2.0,67.0,3,Upadhyaya Layout
5327,Panathur,1140.0,2.0,51.2,2,Panathur
5328,Chandapura,1225.0,3.0,33.08,3,Chandapura
5329,Nagavarapalya,646.0,1.0,25.84,1,Nagavarapalya
5330,Kadugodi,1050.0,2.0,34.0,2,Kadugodi
5331,Whitefield,1458.0,2.0,62.0,3,Whitefield
5332,Balagere,1007.0,2.0,67.0,2,Balagere
5333,Doddathoguru,1105.0,2.0,50.0,2,Doddathoguru
5334,Raja Rajeshwari Nagar,1170.0,2.0,50.0,2,Raja Rajeshwari Nagar
5335,Chandapura,1080.0,2.0,45.0,2,Chandapura
5336,Kaggalipura,1150.0,2.0,62.0,3,Kaggalipura
5337,Ramamurthy Nagar,1200.0,2.0,57.9,2,Ramamurthy Nagar
5338,other,1200.0,2.0,54.0,2,Jakkuru Layout
5339,Kudlu Gate,1656.0,3.0,75.0,3,Kudlu Gate
5340,KR Puram,1040.0,2.0,50.0,2,KR Puram
5341,Hosur Road,1085.0,2.0,33.7,2,Hosur Road
5342,other,1215.0,2.0,49.75,3,Virat Nagar
5343,Panathur,1210.0,2.0,77.0,2,Panathur
5344,other,1050.0,2.0,55.0,2,Kallumantapa
5345,Iblur Village,1920.0,3.0,150.0,3,Iblur Village
5346,Uttarahalli,1250.0,2.0,50.0,3,Uttarahalli
5347,Mysore Road,947.55,2.0,80.0,2,Mysore Road
5348,Malleshpalya,1421.0,2.0,90.0,2,Malleshpalya
5349,Old Madras Road,1425.0,2.0,74.31,3,Old Madras Road
5350,Budigere,1162.0,2.0,58.0,2,Budigere
5351,Whitefield,905.0,1.0,60.0,1,Whitefield
5352,Sarjapur  Road,914.0,2.0,32.0,2,Sarjapur  Road
5353,other,1258.0,2.0,58.0,2,elachenahalli
5354,Whitefield,1537.0,2.0,70.0,3,Whitefield
5355,Chikkalasandra,1230.0,2.0,53.51,3,Chikkalasandra
5356,Anjanapura,950.0,2.0,32.0,2,Anjanapura
5357,Yelahanka,1282.0,2.0,48.72,3,Yelahanka
5358,Jakkur,1220.0,2.0,49.0,3,Jakkur
5359,Budigere,1636.0,3.0,85.0,3,Budigere
5360,7th Phase JP Nagar,1415.0,3.0,65.0,3,7th Phase JP Nagar
5361,Green Glen Layout,1728.0,3.0,125.0,3,Green Glen Layout
5362,7th Phase JP Nagar,1680.0,3.0,125.0,3,7th Phase JP Nagar
5363,Kasavanhalli,1495.0,2.0,83.0,2,Kasavanhalli
5364,Kanakpura Road,381.0,1.0,28.0,1,Kanakpura Road
5365,Banjara Layout,1200.0,2.0,70.0,2,Banjara Layout
5366,Bommasandra,1942.0,3.0,90.0,3,Bommasandra
5367,Electronics City Phase 1,1522.5,2.0,60.75,3,Electronics City Phase 1
5368,other,1450.0,3.0,90.0,3,Basavanna Nagar
5369,Electronic City,1039.0,2.0,50.0,2,Electronic City
5370,Old Madras Road,1210.0,2.0,80.0,2,Old Madras Road
5371,Attibele,995.0,1.0,24.88,2,Attibele
5372,Yelahanka,1620.0,3.0,90.0,3,Yelahanka
5373,Marathahalli,1314.0,2.0,55.0,2,Marathahalli
5374,Bisuvanahalli,945.0,2.0,33.0,2,Bisuvanahalli
5375,Nehru Nagar,1374.0,3.0,72.0,3,Nehru Nagar
5376,Kanakpura Road,1603.0,3.0,113.0,3,Kanakpura Road
5377,Kengeri,1230.0,2.0,52.0,3,Kengeri
5378,other,670.0,1.0,50.0,1,Basavangudi
5379,Sarjapur  Road,1864.0,3.0,105.0,4,Sarjapur  Road
5380,Raja Rajeshwari Nagar,1625.0,2.0,54.0,3,Raja Rajeshwari Nagar
5381,Whitefield,1186.0,2.0,55.0,2,Whitefield
5382,Electronic City,770.0,1.0,39.9,2,Electronic City
5383,Varthur,1085.0,2.0,45.0,2,Varthur
5384,other,1893.0,3.0,115.0,3,Dodsworth Layout
5385,Kundalahalli,1496.0,2.0,78.0,3,Kundalahalli
5386,Chandapura,1305.0,3.0,33.28,3,Chandapura
5387,Electronics City Phase 1,1550.0,2.0,82.0,3,Electronics City Phase 1
5388,Marathahalli,1200.0,2.0,58.17,3,Marathahalli
5389,Badavala Nagar,1494.0,2.0,94.55,3,Badavala Nagar
5390,Electronic City Phase II,1286.0,2.0,69.0,2,Electronic City Phase II
5391,Hebbal,1860.0,3.0,95.0,3,Hebbal
5392,Haralur Road,1243.0,2.0,45.0,2,Haralur Road
5393,Brookefield,1200.0,2.0,75.0,2,Brookefield
5394,Sarjapur,1044.0,2.0,32.0,2,Sarjapur
5395,7th Phase JP Nagar,1040.0,2.0,41.59,2,7th Phase JP Nagar
5396,8th Phase JP Nagar,1125.0,2.0,36.94,2,8th Phase JP Nagar
5397,Subramanyapura,1278.0,2.0,59.0,3,Subramanyapura
5398,other,1250.0,2.0,43.0,2,Belatur
5399,Lakshminarayana Pura,1210.0,2.0,75.0,2,Lakshminarayana Pura
5400,Sarjapur  Road,1157.0,2.0,57.84,3,Sarjapur  Road
5401,Raja Rajeshwari Nagar,1185.0,2.0,51.15,2,Raja Rajeshwari Nagar
5402,Kalena Agrahara,1450.0,3.0,100.0,3,Kalena Agrahara
5403,Old Madras Road,1859.0,3.0,121.0,3,Old Madras Road
5404,Attibele,900.0,1.0,25.0,2,Attibele
5405,Ramamurthy Nagar,1305.0,3.0,60.0,3,Ramamurthy Nagar
5406,other,1200.0,2.0,100.0,3,Srirampuram
5407,Thanisandra,784.0,1.0,35.285,1,Thanisandra
5408,Sarjapur  Road,1150.0,2.0,36.8,2,Sarjapur  Road
5409,Whitefield,1806.0,3.0,85.0,3,Whitefield
5410,Kudlu,1027.0,2.0,42.0,2,Kudlu
5411,Uttarahalli,1002.0,2.0,40.08,2,Uttarahalli
5412,Electronic City Phase II,1220.0,2.0,36.21,3,Electronic City Phase II
5413,Whitefield,1109.0,2.0,35.22,2,Whitefield
5414,Uttarahalli,1002.0,2.0,40.08,2,Uttarahalli
5415,Narayanapura,1308.0,2.0,89.04,2,Narayanapura
5416,Hennur Road,1232.0,2.0,69.6,2,Hennur Road
5417,Haralur Road,1027.0,2.0,44.0,2,Haralur Road
5418,Kalyan nagar,1250.0,2.0,65.0,2,Kalyan nagar
5419,Raja Rajeshwari Nagar,1255.0,2.0,53.87,2,Raja Rajeshwari Nagar
5420,Akshaya Nagar,1434.0,3.0,84.0,3,Akshaya Nagar
5421,Doddathoguru,925.0,2.0,30.0,2,Doddathoguru
5422,Jakkur,1858.0,3.0,123.0,3,Jakkur
5423,other,1205.0,2.0,70.0,2,Jakkuru Layout
5424,other,1500.0,3.0,90.0,3,Nelamangala
5425,Mysore Road,1020.0,2.0,48.95,2,Mysore Road
5426,Thanisandra,965.0,2.0,56.0,2,Thanisandra
5427,Battarahalli,1636.0,2.0,82.89,2,Battarahalli
5428,Kundalahalli,1724.0,3.0,125.0,3,Kundalahalli
5429,Whitefield,1216.0,2.0,67.0,2,Whitefield
5430,Yelahanka,654.0,1.0,36.25,1,Yelahanka
5431,other,1190.0,2.0,41.0,2,Abbaiah Reddy Layout
5432,Budigere,1636.0,3.0,92.0,3,Budigere
5433,Hennur Road,1195.0,2.0,73.0,2,Hennur Road
5434,other,1250.0,2.0,67.0,2,1st Block HRBR Layout
5435,Whitefield,1452.0,3.0,90.0,3,Whitefield
5436,Thanisandra,1546.0,3.0,95.0,3,Thanisandra
5437,other,375.0,1.0,26.0,1,KG Halli
5438,Balagere,1007.0,2.0,66.0,2,Balagere
5439,Hennur Road,1020.0,2.0,47.0,2,Hennur Road
5440,Marathahalli,1125.0,2.0,55.0,2,Marathahalli
5441,other,909.0,2.0,43.0,3,Kada Agrahara
5442,other,1400.0,2.0,85.0,2,Dodsworth Layout
5443,Kadugodi,1152.0,2.0,61.0,2,Kadugodi
5444,Subramanyapura,958.0,2.0,34.49,2,Subramanyapura
5445,Whitefield,1150.0,2.0,55.0,2,Whitefield
5446,Bellandur,1310.0,2.0,85.0,2,Bellandur
5447,Hosur Road,1590.0,2.0,126.0,3,Hosur Road
5448,Green Glen Layout,1645.0,3.0,110.0,3,Green Glen Layout
5449,other,1800.0,2.0,100.0,3,Veerabhadra Nagar
5450,Thanisandra,1795.0,3.0,150.0,3,Thanisandra
5451,8th Phase JP Nagar,1100.0,2.0,35.0,2,8th Phase JP Nagar
5452,Thanisandra,777.0,1.0,38.535,1,Thanisandra
5453,other,925.0,2.0,70.0,2,Kalkere
5454,Basavangudi,1542.14,3.0,120.0,3,Basavangudi
5455,Thanisandra,1430.0,2.0,54.0,3,Thanisandra
5456,Bommanahalli,1020.0,2.0,55.0,2,Bommanahalli
5457,Electronic City Phase II,1140.0,2.0,32.92,2,Electronic City Phase II
5458,Anekal,967.0,2.0,45.0,3,Anekal
5459,other,850.0,1.0,35.5,2,Maruthi Nagar
5460,other,1100.0,2.0,32.0,2,Vidhyanagar Cross
5461,Thanisandra,1697.0,3.0,110.0,3,Thanisandra
